timestamp,epoch_time,event_type,epoch,loss,accuracy,val_accuracy,sample_count,detected_class,extra_info,raw_message
2026-05-21T15:49:32.845750,1779367772.8457503,NEW_SAMPLE,,,,,26,dog,,[DATA] class=dog (n=26)
2026-05-21T15:49:34.846177,1779367774.8461778,NEW_SAMPLE,,,,,27,cat,,[DATA] class=cat (n=27)
2026-05-21T15:49:36.843107,1779367776.8431072,NEW_SAMPLE,,,,,28,horse,,[DATA] class=horse (n=28)
2026-05-21T15:49:38.846972,1779367778.8469722,NEW_SAMPLE,,,,,29,horse,,[DATA] class=horse (n=29)
2026-05-21T15:49:40.844021,1779367780.8440216,NEW_SAMPLE,,,,,30,dog,,[DATA] class=dog (n=30)
2026-05-21T15:49:40.846894,1779367780.8468943,FL,,,,,,,Local training (4-class cross-entropy),[FL] Local training (4-class cross-entropy)
2026-05-21T15:49:40.983756,1779367780.9837563,TRAIN_EPOCH,0,1.2614,30.0,,,,,  Epoch  0  Loss=1.2614  Acc=30.0%
2026-05-21T15:49:41.132491,1779367781.1324918,TRAIN_EPOCH,1,1.2381,30.0,,,,,  Epoch  1  Loss=1.2381  Acc=30.0%
2026-05-21T15:49:41.278792,1779367781.2787926,TRAIN_EPOCH,2,1.217,30.0,,,,,  Epoch  2  Loss=1.2170  Acc=30.0%
2026-05-21T15:49:41.438693,1779367781.438693,TRAIN_EPOCH,3,1.1953,36.7,,,,,  Epoch  3  Loss=1.1953  Acc=36.7%
2026-05-21T15:49:41.588765,1779367781.5887654,TRAIN_EPOCH,4,1.1725,36.7,,,,,  Epoch  4  Loss=1.1725  Acc=36.7%
2026-05-21T15:49:41.737296,1779367781.7372963,TRAIN_EPOCH,5,1.1519,40.0,,,,,  Epoch  5  Loss=1.1519  Acc=40.0%
2026-05-21T15:49:41.886291,1779367781.8862917,TRAIN_EPOCH,6,1.1338,43.3,,,,,  Epoch  6  Loss=1.1338  Acc=43.3%
2026-05-21T15:49:42.036029,1779367782.036029,TRAIN_EPOCH,7,1.1183,46.7,,,,,  Epoch  7  Loss=1.1183  Acc=46.7%
2026-05-21T15:49:42.184110,1779367782.1841102,TRAIN_EPOCH,8,1.1035,43.3,,,,,  Epoch  8  Loss=1.1035  Acc=43.3%
2026-05-21T15:49:42.333981,1779367782.3339815,TRAIN_EPOCH,9,1.0906,43.3,,,,,  Epoch  9  Loss=1.0906  Acc=43.3%
2026-05-21T15:49:42.481290,1779367782.4812908,TRAIN_EPOCH,10,1.0788,50.0,,,,,  Epoch 10  Loss=1.0788  Acc=50.0%
2026-05-21T15:49:42.639838,1779367782.6398382,TRAIN_EPOCH,11,1.0701,53.3,,,,,  Epoch 11  Loss=1.0701  Acc=53.3%
2026-05-21T15:49:42.790186,1779367782.7901866,TRAIN_EPOCH,12,1.06,53.3,,,,,  Epoch 12  Loss=1.0600  Acc=53.3%
2026-05-21T15:49:42.940068,1779367782.9400687,TRAIN_EPOCH,13,1.0522,53.3,,,,,  Epoch 13  Loss=1.0522  Acc=53.3%
2026-05-21T15:49:43.087639,1779367783.0876398,TRAIN_EPOCH,14,1.0451,53.3,,,,,  Epoch 14  Loss=1.0451  Acc=53.3%
2026-05-21T15:49:43.090143,1779367783.0901437,VALIDATION,,,,80.0,10,,,[ACCURACY] Validation: 80.0% (n=10)
2026-05-21T15:49:43.093166,1779367783.093166,FL,,,,,,,"B1 pre-pack: min=-2.6873, max=2.4762, mean=-0.1680","[FL] B1 pre-pack: min=-2.6873, max=2.4762, mean=-0.1680"
2026-05-21T15:49:43.094734,1779367783.0947344,FL,,,,,,,Model sent (72 bytes),[FL] Model sent (72 bytes)
2026-05-21T15:49:43.094734,1779367783.0947344,NEW_SAMPLE,,,,,30,dog,,[DATA] class=dog (n=30)
2026-05-21T15:49:43.253664,1779367783.253665,BLE,,,,,,,Received global model (64 bytes),[BLE] Received global model (64 bytes)
2026-05-21T15:49:43.258611,1779367783.2586112,FL,,,,,,,Global model updated (Adam reset),[FL] Global model updated (Adam reset)
2026-05-21T15:49:43.259608,1779367783.2596085,FL,,,,,,,"B1 unpacked: min=-2.3622, max=1.6535, mean=-0.1747","[FL] B1 unpacked: min=-2.3622, max=1.6535, mean=-0.1747"
2026-05-21T15:49:45.097948,1779367785.0979478,NEW_SAMPLE,,,,,30,horse,,[DATA] class=horse (n=30)
2026-05-21T15:49:47.101685,1779367787.1016858,NEW_SAMPLE,,,,,30,other,,[DATA] class=other (n=30)
2026-05-21T15:49:49.099867,1779367789.0998676,NEW_SAMPLE,,,,,30,cat,,[DATA] class=cat (n=30)
2026-05-21T15:49:51.094510,1779367791.0945108,NEW_SAMPLE,,,,,30,cat,,[DATA] class=cat (n=30)
2026-05-21T15:49:53.101167,1779367793.1011677,NEW_SAMPLE,,,,,30,horse,,[DATA] class=horse (n=30)
2026-05-21T15:49:55.100076,1779367795.1000762,NEW_SAMPLE,,,,,30,horse,,[DATA] class=horse (n=30)
2026-05-21T15:49:57.096397,1779367797.0963972,NEW_SAMPLE,,,,,30,cat,,[DATA] class=cat (n=30)
2026-05-21T15:49:59.098953,1779367799.0989532,NEW_SAMPLE,,,,,30,other,,[DATA] class=other (n=30)
2026-05-21T15:50:00.845620,1779367800.8456204,FL,,,,,,,Local training (4-class cross-entropy),[FL] Local training (4-class cross-entropy)
2026-05-21T15:50:00.983588,1779367800.9835887,TRAIN_EPOCH,0,1.1362,36.7,,,,,  Epoch  0  Loss=1.1362  Acc=36.7%
2026-05-21T15:50:01.132409,1779367801.132409,TRAIN_EPOCH,1,1.0974,43.3,,,,,  Epoch  1  Loss=1.0974  Acc=43.3%
2026-05-21T15:50:01.281340,1779367801.2813408,TRAIN_EPOCH,2,1.0803,53.3,,,,,  Epoch  2  Loss=1.0803  Acc=53.3%
2026-05-21T15:50:01.428873,1779367801.4288738,TRAIN_EPOCH,3,1.0613,60.0,,,,,  Epoch  3  Loss=1.0613  Acc=60.0%
2026-05-21T15:50:01.588931,1779367801.5889316,TRAIN_EPOCH,4,1.0454,56.7,,,,,  Epoch  4  Loss=1.0454  Acc=56.7%
2026-05-21T15:50:01.736450,1779367801.736451,TRAIN_EPOCH,5,1.0313,60.0,,,,,  Epoch  5  Loss=1.0313  Acc=60.0%
2026-05-21T15:50:01.882891,1779367801.882892,TRAIN_EPOCH,6,1.019,60.0,,,,,  Epoch  6  Loss=1.0190  Acc=60.0%
2026-05-21T15:50:02.030852,1779367802.0308526,TRAIN_EPOCH,7,1.0081,60.0,,,,,  Epoch  7  Loss=1.0081  Acc=60.0%
2026-05-21T15:50:02.180614,1779367802.180615,TRAIN_EPOCH,8,0.9991,63.3,,,,,  Epoch  8  Loss=0.9991  Acc=63.3%
2026-05-21T15:50:02.338313,1779367802.338313,TRAIN_EPOCH,9,0.9904,63.3,,,,,  Epoch  9  Loss=0.9904  Acc=63.3%
2026-05-21T15:50:02.485166,1779367802.4851668,TRAIN_EPOCH,10,0.9837,63.3,,,,,  Epoch 10  Loss=0.9837  Acc=63.3%
2026-05-21T15:50:02.635153,1779367802.635153,TRAIN_EPOCH,11,0.9768,63.3,,,,,  Epoch 11  Loss=0.9768  Acc=63.3%
2026-05-21T15:50:02.782715,1779367802.7827158,TRAIN_EPOCH,12,0.9699,63.3,,,,,  Epoch 12  Loss=0.9699  Acc=63.3%
2026-05-21T15:50:02.939721,1779367802.939722,TRAIN_EPOCH,13,0.9669,63.3,,,,,  Epoch 13  Loss=0.9669  Acc=63.3%
2026-05-21T15:50:03.086999,1779367803.086999,TRAIN_EPOCH,14,0.9595,63.3,,,,,  Epoch 14  Loss=0.9595  Acc=63.3%
